Date,Adj Close,Close,High,Low,Open,Volume,VIX,puntaje_sent_fin_pos,puntaje_sent_fin_neu,puntaje_sent_fin_neg,recom_inv_llm,rows_per_day,has_news,Sentiment_gpt,Scaled_sentiment,News_flag
2023-08-01,330.0288391113281,336.3399963378906,338.5400085449219,333.70001220703125,335.19000244140625,18311900,13.930000305175781,0.3280536543045725,0.5077952231679644,0.16415114913667947,2.2857142857142856,7.0,1,3.526315789473684,0.631603947368421,1.0
2023-08-02,321.3547668457031,327.5,333.6300048828125,326.3599853515625,333.6300048828125,27761300,16.09000015258789,0.0413481891155242,0.3564914762973785,0.6021602749824524,1.0,1.0,1,3.388888888888889,0.5972472222222223,1.0
2023-08-03,320.530517578125,326.6600036621094,329.8800048828125,325.95001220703125,326.0,18253700,15.920000076293945,0.04777176193892948,0.10702049247920509,0.8452077515423297,4.2,10.0,1,3.48,0.620025,1.0
2023-08-04,321.6294860839844,327.7799987792969,335.1400146484375,327.239990234375,331.8800048828125,23741500,17.100000381469727,0.0224363077431917,0.4735972322523594,0.5039664283394814,5.0,2.0,1,3.92,0.7300249999999999,1.0
2023-08-07,323.915771484375,330.1099853515625,331.1099853515625,327.5199890136719,328.3699951171875,17741500,15.770000457763672,0.3301871071259181,0.5509442836046219,0.11886861051122344,4.0,3.0,1,3.5,0.6250249999999999,1.0
2023-08-08,319.9319763183594,326.04998779296875,328.75,323.0,326.9599914550781,22327600,15.989999771118164,0.0477776154875755,0.9312146902084352,0.0210077501833438,3.0,4.0,1,3.8823529411764706,0.7206132352941177,1.0
2023-08-09,316.1836853027344,322.2300109863281,327.1099853515625,321.04998779296875,326.4700012207031,22373300,15.960000038146973,0.05539824323647695,0.6539886138685371,0.29061312475444184,3.4347826086956523,23.0,1,3.647058823529412,0.661789705882353,1.0
2023-08-10,316.8704833984375,322.92999267578125,328.260009765625,321.17999267578125,326.0199890136719,20113700,15.850000381469727,0.036729483865201404,0.7203519642353058,0.24291859101504085,4.5,4.0,1,3.625,0.6562749999999999,1.0
2023-08-11,314.9864807128906,321.010009765625,322.4100036621094,319.2099914550781,320.260009765625,24355500,14.84000015258789,0.022329227998852664,0.2944591818377375,0.6832115824023882,3.0,3.0,1,3.32,0.580025,1.0
2023-08-14,317.9596862792969,324.0400085449219,324.05999755859375,320.0799865722656,321.3900146484375,18836100,14.819999694824219,0.0,0.0,0.0,0.0,0.0,0,3.75,0.6875249999999999,1.0
2023-08-15,315.8205871582031,321.8599853515625,325.0899963378906,320.8999938964844,323.0,16966300,16.459999084472656,0.05568912923336023,0.8685443520545959,0.07576652045051249,3.1333333333333333,15.0,1,3.6875,0.6718999999999999,1.0
2023-08-16,315.0536193847656,320.3999938964844,324.4200134277344,319.79998779296875,320.79998779296875,20698900,16.780000686645508,0.1350334584712982,0.04988843947649,0.8150781393051147,2.8333333333333335,12.0,1,3.941176470588235,0.7353191176470588,1.0
2023-08-17,311.5923767089844,316.8800048828125,321.8699951171875,316.2099914550781,320.5400085449219,21257200,17.889999389648438,0.08484548543180732,0.5526014374835151,0.3625530680375439,3.2857142857142856,14.0,1,3.4375,0.6093999999999999,1.0
2023-08-18,311.1990051269531,316.4800109863281,318.3800048828125,311.54998779296875,314.489990234375,24755000,17.299999237060547,0.0293300524353981,0.0862235352396965,0.884446382522583,5.0,1.0,1,3.4375,0.6093999999999999,1.0
2023-08-21,316.5089416503906,321.8800048828125,322.7699890136719,317.0400085449219,317.92999267578125,24040000,17.1299991607666,0.11849774233996868,0.8583519011735916,0.023150374647229875,4.0,4.0,1,3.769230769230769,0.6923326923076922,1.0
2023-08-22,317.0792541503906,322.4599914550781,326.0799865722656,321.4599914550781,325.5,16084600,16.969999313354492,0.192908105839576,0.741042650703873,0.06604925436632972,3.2857142857142856,7.0,1,3.636363636363636,0.6591159090909091,1.0
2023-08-23,321.54345703125,327.0,329.20001220703125,323.4599914550781,323.82000732421875,21166400,15.979999542236328,0.30162227600812913,0.6634516328573227,0.034926085794965346,3.7333333333333334,15.0,1,4.103448275862069,0.7758870689655173,1.0
2023-08-24,314.6307678222656,319.9700012207031,332.9800109863281,319.9599914550781,332.8500061035156,23281400,17.200000762939453,0.6465619429945946,0.34308489561080935,0.01035317257046694,3.0,5.0,1,3.269230769230769,0.5673326923076922,1.0
2023-08-25,317.590576171875,322.9800109863281,325.3599853515625,318.79998779296875,321.4700012207031,21684100,15.680000305175781,0.04711629562079904,0.9234449148178101,0.02943878881633276,3.16,25.0,1,3.5625,0.6406499999999999,1.0
2023-08-28,318.298583984375,323.70001220703125,326.1499938964844,321.7200012207031,325.6600036621094,14808500,15.079999923706055,0.1092588230967521,0.8643014430999756,0.0264397729188203,4.0,1.0,1,3.823529411764706,0.7059073529411766,1.0
2023-08-29,322.9299621582031,328.4100036621094,328.9800109863281,321.8800048828125,321.8800048828125,19284600,14.449999809265137,0.0,0.0,0.0,0.0,0.0,0,4.0476190476190474,0.7619297619047618,1.0
