Date,Adj Close,Close,High,Low,Open,Volume,VIX,puntaje_sent_fin_pos,puntaje_sent_fin_neu,puntaje_sent_fin_neg,recom_inv_llm,rows_per_day,has_news,Sentiment_gpt,Scaled_sentiment,News_flag
2023-08-01,130.9935760498047,131.88999938964844,132.9199981689453,130.75,130.85499572753906,22154300,13.930000305175781,0.038667246699333094,0.5818313956260681,0.3795013129711151,3.076923076923077,13.0,1,3.363636363636364,0.590934090909091,1.0
2023-08-02,127.76566314697266,128.63999938964844,130.4199981689453,127.8499984741211,129.83999633789062,22705800,16.09000015258789,0.0,0.0,0.0,0.0,0.0,0,3.5,0.6250249999999999,1.0
2023-08-03,127.89479064941406,128.77000427246094,129.77000427246094,127.7750015258789,128.3699951171875,15018100,15.920000076293945,0.0,0.0,0.0,0.0,0.0,0,3.6,0.6500250000000001,1.0
2023-08-04,127.66633605957031,128.5399932861328,131.92999267578125,128.31500244140625,129.60000610351562,20521900,17.100000381469727,0.0,0.0,0.0,0.0,0.0,0,4.0,0.7500249999999999,1.0
2023-08-07,131.04322814941406,131.94000244140625,132.05999755859375,129.42999267578125,129.50999450683594,17621000,15.770000457763672,0.0366701409220695,0.933891236782074,0.029438629746437,4.5,2.0,1,3.8333333333333335,0.7083583333333334,1.0
2023-08-08,130.9439239501953,131.83999633789062,131.94000244140625,130.1300048828125,130.97999572753906,16836000,15.989999771118164,0.010835222434252448,0.0173253519460558,0.971839427947998,3.0,2.0,1,3.3333333333333335,0.5833583333333334,1.0
2023-08-09,129.26539611816406,130.14999389648438,132.47000122070312,129.5050048828125,132.19000244140625,17745200,15.960000038146973,0.0539322197437286,0.676087498664856,0.2699802815914154,3.0,8.0,1,4.0,0.7500249999999999,1.0
2023-08-10,129.3249969482422,130.2100067138672,132.64700317382812,130.03500366210938,131.97000122070312,17855700,15.850000381469727,0.0,0.0,0.0,0.0,0.0,0,4.0,0.7500249999999999,1.0
2023-08-11,129.28526306152344,130.1699981689453,130.44000244140625,128.75,129.20199584960938,15205500,14.84000015258789,0.0,0.0,0.0,0.0,0.0,0,3.888888888888889,0.7222472222222223,1.0
2023-08-14,130.93399047851562,131.8300018310547,131.91000366210938,129.58999633789062,129.85000610351562,17526200,14.819999694824219,0.0,0.0,0.0,0.0,0.0,0,3.6666666666666665,0.6666916666666667,1.0
2023-08-15,129.3845977783203,130.27000427246094,131.99000549316406,129.81900024414062,131.58999633789062,14769200,16.459999084472656,0.0,0.0,0.0,0.0,0.0,0,3.6,0.6500250000000001,1.0
2023-08-16,128.23248291015625,129.11000061035156,130.8979949951172,128.4600067138672,129.27999877929688,17548400,16.780000686645508,0.0,0.0,0.0,0.0,0.0,0,3.25,0.5625249999999999,1.0
2023-08-17,129.5732879638672,130.4600067138672,132.49099731445312,129.85000610351562,130.4499969482422,23665600,17.889999389648438,0.0810524374246597,0.8587083220481873,0.060239303857088,3.7333333333333334,15.0,1,3.8333333333333335,0.7083583333333334,1.0
2023-08-18,127.23927307128906,128.11000061035156,129.8300018310547,127.0,129.05999755859375,23627200,17.299999237060547,0.0121727008372545,0.0168188586831092,0.9710084199905396,4.0,1.0,1,3.75,0.6875249999999999,1.0
2023-08-21,128.05368041992188,128.92999267578125,129.25999450683594,127.16000366210938,127.8499984741211,21851100,17.1299991607666,0.0,0.0,0.0,0.0,0.0,0,4.25,0.8125249999999999,1.0
2023-08-22,128.80853271484375,129.69000244140625,130.9499969482422,128.9250030517578,129.1300048828125,15557900,16.969999313354492,0.0,0.0,0.0,0.0,0.0,0,4.142857142857143,0.7857392857142858,1.0
