Date,Adj Close,Close,High,Low,Open,Volume,VIX,puntaje_sent_fin_pos,puntaje_sent_fin_neu,puntaje_sent_fin_neg,recom_inv_llm,rows_per_day,has_news
2023-08-01,11.49765396118164,13.420000076293945,13.4399995803833,13.109999656677246,13.149999618530273,59129900,13.930000305175781,0.08181860111653799,0.8573296368122101,0.06085179187357425,4.5,2.0,1
2023-08-02,11.172085762023926,13.039999961853027,13.229999542236328,12.979999542236328,13.199999809265137,57997400,16.09000015258789,0.04565492069179358,0.5696450580250133,0.3847000084986741,2.8181818181818183,11.0,1
2023-08-03,11.223489761352539,13.100000381469727,13.140000343322754,12.859999656677246,12.989999771118164,51996300,15.920000076293945,0.027615956030786,0.5909963250160217,0.38138765189796686,4.5,2.0,1
2023-08-04,11.043574333190918,12.890000343322754,13.100000381469727,12.800000190734863,13.100000381469727,48412900,17.100000381469727,0.04023495677392922,0.25312361959367985,0.7066414450528101,3.375,16.0,1
2023-08-07,11.086410522460938,12.9399995803833,12.960000038146973,12.779999732971191,12.930000305175781,43929200,15.770000457763672,0.07747253030538553,0.9073663155237833,0.015161103258530234,3.0,3.0,1
2023-08-08,11.035004615783691,12.880000114440918,12.899999618530273,12.699999809265137,12.770000457763672,45103800,15.989999771118164,0.0427265390753746,0.9343007206916808,0.0229726675897836,5.0,1.0,1
2023-08-09,10.906492233276367,12.729999542236328,12.829999923706055,12.65999984741211,12.770000457763672,42932600,15.960000038146973,0.38050612434744835,0.1589841842651367,0.4605096677939097,2.3333333333333335,3.0,1
2023-08-10,10.41814136505127,12.15999984741211,12.779999732971191,12.079999923706055,12.779999732971191,104063900,15.850000381469727,0.0,0.0,0.0,0.0,0.0,0
2023-08-11,10.401005744934082,12.140000343322754,12.199999809265137,12.0,12.119999885559082,64371700,14.84000015258789,0.09752077733476949,0.8813079396883646,0.0211713292325536,3.6666666666666665,3.0,1
2023-08-14,10.452411651611328,12.199999809265137,12.229999542236328,12.020000457763672,12.029999732971191,48099600,14.819999694824219,0.1484947204589843,0.8396540284156799,0.0118512418121099,3.0,1.0,1
2023-08-15,10.263924598693848,11.979999542236328,12.149999618530273,11.970000267028809,12.0600004196167,42616400,16.459999084472656,0.0197091717272996,0.1052667424082756,0.875024139881134,3.0,1.0,1
2023-08-16,10.118277549743652,11.8100004196167,12.029999732971191,11.800000190734863,11.899999618530273,44838900,16.780000686645508,0.0,0.0,0.0,0.0,0.0,0
2023-08-17,10.13541316986084,11.829999923706055,11.970000267028809,11.779999732971191,11.880000114440918,36104900,17.889999389648438,0.1271698685983816,0.8444828391075134,0.028347269321481332,2.3333333333333335,3.0,1
2023-08-18,10.24679183959961,11.960000038146973,12.020000457763672,11.720000267028809,11.729999542236328,44519900,17.299999237060547,0.0089379679411649,0.0286864154040813,0.9623756408691406,4.0,1.0,1
2023-08-21,10.255356788635254,11.970000267028809,12.0600004196167,11.869999885559082,12.039999961853027,33456700,17.1299991607666,0.14307136833667752,0.6624795241015298,0.19444909798247467,3.4285714285714284,7.0,1
2023-08-22,10.169682502746582,11.869999885559082,12.029999732971191,11.84000015258789,12.010000228881836,32027500,16.969999313354492,0.0411192886531353,0.9339340925216676,0.0249466374516487,3.0,1.0,1
2023-08-23,10.24679183959961,11.960000038146973,11.970000267028809,11.800000190734863,11.819999694824219,30437700,15.979999542236328,0.4894356783479452,0.49149419367313385,0.0190701568499207,3.5,2.0,1
2023-08-24,10.06687068939209,11.75,11.930000305175781,11.75,11.890000343322754,33338200,17.200000762939453,0.0,0.0,0.0,0.0,0.0,0
2023-08-25,10.203953742980957,11.90999984741211,11.989999771118164,11.579999923706055,11.829999923706055,47610000,15.680000305175781,0.2484497427940368,0.4140627384185791,0.3374875485897064,4.0,1.0,1
2023-08-28,10.195384979248047,11.899999618530273,12.0600004196167,11.850000381469727,11.949999809265137,29693500,15.079999923706055,0.095798285678029,0.7703865170478821,0.13381518796086306,3.0,2.0,1
2023-08-29,10.323898315429688,12.050000190734863,12.0600004196167,11.890000343322754,11.949999809265137,32009000,14.449999809265137,0.1018254682421684,0.8441702127456665,0.0540043488144874,3.0,1.0,1
2023-08-30,10.306763648986816,12.029999732971191,12.149999618530273,12.010000228881836,12.069999694824219,30617900,13.880000114440918,0.0,0.0,0.0,0.0,0.0,0
2023-08-31,10.392439842224121,12.130000114440918,12.270000457763672,12.09000015258789,12.130000114440918,39025700,13.569999694824219,0.0908971279859542,0.0796026960015297,0.829500138759613,2.0,2.0,1
2023-09-01,10.401005744934082,12.140000343322754,12.270000457763672,12.039999961853027,12.15999984741211,34716900,13.09000015258789,0.19275169372558587,0.7534400229652722,0.05380823314189907,3.2666666666666666,15.0,1
2023-09-05,10.358168601989746,12.09000015258789,12.180000305175781,12.039999961853027,12.119999885559082,35202000,14.010000228881836,0.0232844147831201,0.31322140991687775,0.6634942144155502,3.0,2.0,1
2023-09-06,10.341032981872559,12.069999694824219,12.109999656677246,11.829999923706055,12.0,41881500,14.449999809265137,0.029819648712873383,0.23444125652313233,0.7357391245663166,4.2,5.0,1
2023-09-07,10.24679183959961,11.960000038146973,12.050000190734863,11.899999618530273,11.949999809265137,38559600,14.399999618530273,0.0669638458639383,0.16296087671071285,0.770075261592865,3.0,2.0,1
2023-09-08,10.538086891174316,12.300000190734863,12.359999656677246,11.970000267028809,11.970000267028809,49493500,13.84000015258789,0.0,0.0,0.0,0.0,0.0,0
2023-09-11,10.4695463180542,12.220000267028809,12.399999618530273,12.170000076293945,12.359999656677246,34673600,13.800000190734863,0.1599927023053169,0.7306567430496216,0.1093505299650132,3.0,2.0,1
2023-09-12,10.666600227355957,12.449999809265137,12.59000015258789,12.220000267028809,12.229999542236328,49507700,14.229999542236328,0.2690406858921051,0.7230542341868083,0.007905029753843927,3.6666666666666665,15.0,1
2023-09-13,10.829384803771973,12.640000343322754,12.90999984741211,12.630000114440918,12.6899995803833,62579700,13.479999542236328,0.0726910705367724,0.8804932435353597,0.046815658609072296,4.333333333333333,3.0,1
2023-09-14,10.812249183654785,12.619999885559082,12.699999809265137,12.40999984741211,12.609999656677246,43461600,12.819999694824219,0.021329946815967497,0.05039570946246385,0.9282743632793427,3.5,2.0,1
2023-09-15,10.803680419921875,12.609999656677246,12.789999961853027,12.399999618530273,12.399999618530273,63982400,13.789999961853027,0.140990655070969,0.7794875216537288,0.07952180877327915,2.7857142857142856,14.0,1
2023-09-18,10.572357177734375,12.34000015258789,12.520000457763672,12.25,12.5,47444100,14.0,0.0641918205656111,0.4061510227620601,0.529657170176506,2.0,2.0,1
2023-09-19,10.760845184326172,12.5600004196167,12.649999618530273,12.3100004196167,12.34000015258789,40900000,14.109999656677246,0.02093703281134364,0.30433003008365633,0.674732917174697,3.0,5.0,1
2023-09-20,10.589491844177246,12.359999656677246,12.670000076293945,12.350000381469727,12.649999618530273,37449600,15.140000343322754,0.029394915327429702,0.3748313002288341,0.59577377140522,4.0,2.0,1
2023-09-21,10.452411651611328,12.199999809265137,12.350000381469727,12.15999984741211,12.199999809265137,40140500,17.540000915527344,0.6821001172065735,0.2254349589347839,0.0924649313092231,2.0,1.0,1
2023-09-22,10.649466514587402,12.430000305175781,12.770000457763672,12.40999984741211,12.5,65205500,17.200000762939453,0.040990751236677156,0.9287760555744171,0.030233174562454196,4.5,2.0,1
2023-09-25,10.777978897094727,12.579999923706055,12.699999809265137,12.34000015258789,12.350000381469727,41219400,16.899999618530273,0.17542430665343994,0.6497189626097679,0.17485669441521165,3.75,4.0,1
2023-09-26,10.649466514587402,12.430000305175781,12.65999984741211,12.369999885559082,12.489999771118164,41261000,18.940000534057617,0.0,0.0,0.0,0.0,0.0,0
2023-09-27,10.615196228027344,12.390000343322754,12.520000457763672,12.25,12.520000457763672,41616600,18.219999313354492,0.0559489876031875,0.0601298697292804,0.8839211463928223,5.0,1.0,1
2023-09-28,10.760845184326172,12.5600004196167,12.65999984741211,12.170000076293945,12.319999694824219,49109800,17.34000015258789,0.425890433602035,0.1747278198599815,0.3993817865848541,5.0,2.0,1
2023-09-29,10.640898704528809,12.420000076293945,12.65999984741211,12.350000381469727,12.609999656677246,62364900,17.520000457763672,0.0245783329010009,0.0187317840754985,0.9566898941993712,3.75,8.0,1
2023-10-02,10.546655654907227,12.3100004196167,12.4399995803833,12.229999542236328,12.380000114440918,51204000,17.610000610351562,0.11501622106879948,0.27919081319123507,0.6057929247617722,2.75,4.0,1
2023-10-03,10.341032981872559,12.069999694824219,12.229999542236328,12.020000457763672,12.15999984741211,55074700,19.780000686645508,0.6387703058620294,0.04588309923807777,0.3153466085592906,3.3333333333333335,3.0,1
2023-10-04,10.272493362426758,11.989999771118164,12.079999923706055,11.880000114440918,12.020000457763672,45217900,18.579999923706055,0.9007793068885804,0.0643660277128219,0.0348546467721462,4.0,1.0,1
2023-10-05,10.195384979248047,11.899999618530273,12.0,11.6899995803833,11.9399995803833,47425000,18.489999771118164,0.35349570711453754,0.6378411253293356,0.008663149240116233,5.0,3.0,1
2023-10-06,10.281060218811035,12.0,12.149999618530273,11.6899995803833,11.819999694824219,57558500,17.450000762939453,0.0753887668251991,0.6395471692085266,0.2850641012191772,3.0,1.0,1
2023-10-09,10.341032981872559,12.069999694824219,12.149999618530273,11.779999732971191,11.800000190734863,33328000,17.700000762939453,0.0,0.0,0.0,0.0,0.0,0
2023-10-10,10.452411651611328,12.199999809265137,12.300000190734863,12.09000015258789,12.100000381469727,40404600,17.030000686645508,0.0316789001226425,0.2156174778938293,0.7527036070823669,5.0,1.0,1
2023-10-11,10.495250701904297,12.25,12.390000343322754,12.149999618530273,12.289999961853027,31321500,16.09000015258789,0.0098470393568277,0.0500694513320922,0.9400834441184998,3.0,1.0,1
2023-10-12,10.281060218811035,12.0,12.069999694824219,11.84000015258789,11.880000114440918,51644000,16.690000534057617,0.0,0.0,0.0,0.0,0.0,0
2023-10-13,10.118277549743652,11.8100004196167,12.0,11.800000190734863,11.970000267028809,47221800,19.31999969482422,0.0,0.0,0.0,0.0,0.0,0
2023-10-16,10.221089363098145,11.930000305175781,11.960000038146973,11.819999694824219,11.90999984741211,29183000,17.209999084472656,0.2422153153456747,0.1080760061740875,0.6497086584568024,2.0,2.0,1
2023-10-17,10.315330505371094,12.039999961853027,12.170000076293945,11.850000381469727,11.850000381469727,40516500,17.8799991607666,0.0,0.0,0.0,0.0,0.0,0
2023-10-18,10.06687068939209,11.75,11.930000305175781,11.75,11.930000305175781,44840100,19.219999313354492,0.04570926353335375,0.8170948028564453,0.1371959391981363,4.0,2.0,1
2023-10-19,9.878386497497559,11.529999732971191,11.760000228881836,11.510000228881836,11.59000015258789,49057500,21.399999618530273,0.046477520954795175,0.5159279089421034,0.4375945732463151,3.5,16.0,1
2023-10-20,9.972627639770508,11.640000343322754,11.760000228881836,11.539999961853027,11.579999923706055,53307500,21.709999084472656,0.2110333144664764,0.0285965111106634,0.7603701949119568,1.0,1.0,1
2023-10-23,9.835546493530273,11.479999542236328,11.6899995803833,11.420000076293945,11.550000190734863,49073800,20.3700008392334,0.03367984419067693,0.3425015844404697,0.6238185837864875,3.0,3.0,1
2023-10-24,9.758441925048828,11.390000343322754,11.569999694824219,11.380000114440918,11.5,47775600,18.969999313354492,0.7310587763786316,0.0878408700227737,0.1811003684997558,5.0,1.0,1
2023-10-25,9.886953353881836,11.539999961853027,11.640000343322754,11.210000038146973,11.350000381469727,74213800,20.190000534057617,0.11969531094655392,0.3994352174922824,0.4808694589883089,2.75,4.0,1
2023-10-26,9.724169731140137,11.350000381469727,11.930000305175781,11.329999923706055,11.90999984741211,84725900,20.68000030517578,0.017179300292180077,0.14798355818941042,0.8348371065579928,3.6153846153846154,13.0,1
2023-10-27,8.533279418945312,9.960000038146973,10.970000267028809,9.899999618530273,10.930000305175781,187029600,21.270000457763672,0.0643091335892677,0.5941137641668319,0.34157711155712606,3.2,5.0,1
2023-10-30,8.370497703552246,9.770000457763672,10.140000343322754,9.680000305175781,10.079999923706055,106474700,19.75,0.13577196312447387,0.49325710783402127,0.3709709366473059,4.0,6.0,1
