Date,Adj Close,Close,High,Low,Open,Volume,VIX,puntaje_sent_fin_pos,puntaje_sent_fin_neu,puntaje_sent_fin_neg,recom_inv_llm,rows_per_day,has_news
2023-08-01,338.348388671875,357.7200012207031,357.8699951171875,353.3900146484375,354.0,2024300,13.930000305175781,0.052708096988499084,0.7488752245903015,0.19841666370630265,2.9,10.0,1
2023-08-02,332.08685302734375,351.1000061035156,354.989990234375,348.8699951171875,354.989990234375,2106600,16.09000015258789,0.06835876218974585,0.9093289971351624,0.0223122024908661,3.5,2.0,1
2023-08-03,334.03533935546875,353.1600036621094,355.2099914550781,348.6199951171875,349.989990234375,1840400,15.920000076293945,0.0567120555788278,0.8985301852226257,0.044757717289030496,3.0,2.0,1
2023-08-04,334.09210205078125,353.2200012207031,358.7300109863281,352.510009765625,353.3399963378906,1725300,17.100000381469727,0.0403292216360569,0.9381150603294371,0.0215556975454092,3.0,1.0,1
2023-08-07,336.30535888671875,355.55999755859375,357.6700134277344,353.9200134277344,355.3999938964844,1260300,15.770000457763672,0.0274896374903619,0.8667418211698532,0.10576852597296232,4.0,4.0,1
2023-08-08,329.40069580078125,348.260009765625,352.0,342.0299987792969,351.70001220703125,1917300,15.989999771118164,0.0166590786539018,0.21203587763011456,0.7713050842285156,3.0,2.0,1
2023-08-09,324.1322937011719,342.69000244140625,348.4599914550781,342.489990234375,346.82000732421875,1326000,15.960000038146973,0.06168900430202484,0.5773652096589407,0.36094575452928734,3.5,12.0,1
2023-08-10,321.9662780761719,340.3999938964844,347.260009765625,339.79998779296875,344.07000732421875,1345900,15.850000381469727,0.0,0.0,0.0,0.0,0.0,0
2023-08-11,322.2784423828125,340.7300109863281,341.7900085449219,337.54998779296875,339.92999267578125,1256800,14.84000015258789,0.0,0.0,0.0,0.0,0.0,0
2023-08-14,319.4503173828125,337.739990234375,338.45001220703125,334.8599853515625,337.4100036621094,1347000,14.819999694824219,0.029015194624662368,0.6767819225788116,0.2942028933515151,3.3333333333333335,3.0,1
