Date,Adj Close,Close,High,Low,Open,Volume,VIX,puntaje_sent_fin_pos,puntaje_sent_fin_neu,puntaje_sent_fin_neg,recom_inv_llm,rows_per_day,has_news,Sentiment_gpt,Scaled_sentiment,News_flag
2023-08-02,57.88705825805664,61.959999084472656,62.59000015258789,61.560001373291016,61.560001373291016,11059400,16.09000015258789,0.06493208805720005,0.8414800233311124,0.09358787743581658,2.6666666666666665,9.0,1,2.75,0.437525,1.0
2023-08-03,57.58808517456055,61.63999938964844,62.119998931884766,61.529998779296875,61.869998931884766,8037400,15.920000076293945,0.0,0.0,0.0,0.0,0.0,0,4.0,0.7500249999999999,1.0
2023-08-04,56.71922302246094,60.709999084472656,61.88999938964844,60.619998931884766,61.68000030517578,9359300,17.100000381469727,0.0,0.0,0.0,0.0,0.0,0,3.0,0.5000249999999999,1.0
2023-08-07,57.16767120361328,61.189998626708984,61.33000183105469,60.7400016784668,60.790000915527344,6982600,15.770000457763672,0.0,0.0,0.0,0.0,0.0,0,4.0,0.7500249999999999,1.0
2023-08-08,56.91541290283203,60.91999816894531,61.349998474121094,60.619998931884766,61.189998626708984,7956100,15.989999771118164,0.0,0.0,0.0,0.0,0.0,0,4.0,0.7500249999999999,1.0
2023-08-09,57.04621887207031,61.060001373291016,61.630001068115234,60.75,60.90999984741211,7904100,15.960000038146973,0.925990879535675,0.0515143051743507,0.0224948544055223,4.0,1.0,1,4.4,0.850025,1.0
2023-08-10,56.91541290283203,60.91999816894531,61.72999954223633,60.790000915527344,61.349998474121094,7870300,15.850000381469727,0.0,0.0,0.0,0.0,0.0,0,3.0,0.5000249999999999,1.0
2023-08-11,57.14898681640625,61.16999816894531,61.20000076293945,60.689998626708984,60.84000015258789,8483900,14.84000015258789,0.0,0.0,0.0,0.0,0.0,0,4.2,0.800025,1.0
2023-08-14,56.878047943115234,60.880001068115234,61.47999954223633,60.75,61.31999969482422,7176300,14.819999694824219,0.0,0.0,0.0,0.0,0.0,0,4.0,0.7500249999999999,1.0
2023-08-15,56.494998931884766,60.470001220703125,60.900001525878906,60.369998931884766,60.689998626708984,7187400,16.459999084472656,0.0,0.0,0.0,0.0,0.0,0,4.5,0.8750249999999999,1.0
2023-08-16,56.50434112548828,60.47999954223633,60.81999969482422,60.400001525878906,60.540000915527344,8372300,16.780000686645508,0.0,0.0,0.0,0.0,0.0,0,4.285714285714286,0.8214535714285713,1.0
2023-08-17,56.62579345703125,60.61000061035156,61.02000045776367,60.45000076293945,60.58000183105469,12873500,17.889999389648438,0.0,0.0,0.0,0.0,0.0,0,3.0,0.5000249999999999,1.0
2023-08-18,56.943443298339844,60.95000076293945,61.09000015258789,60.369998931884766,60.540000915527344,11083800,17.299999237060547,0.0,0.0,0.0,0.0,0.0,0,3.0,0.5000249999999999,1.0
2023-08-21,56.4576301574707,60.43000030517578,60.93000030517578,60.31999969482422,60.86000061035156,8648500,17.1299991607666,0.0523651018738746,0.9264872074127196,0.0211476888507604,3.0,1.0,1,4.5,0.8750249999999999,1.0
2023-08-22,56.11195373535156,60.060001373291016,60.58000183105469,59.97999954223633,60.34000015258789,9411500,16.969999313354492,0.0581751838326454,0.8536619544029236,0.0881628692150116,3.4615384615384617,13.0,1,3.25,0.5625249999999999,1.0
2023-08-23,56.30815124511719,60.27000045776367,60.439998626708984,60.15999984741211,60.20000076293945,7749500,15.979999542236328,0.0,0.0,0.0,0.0,0.0,0,3.0,0.5000249999999999,1.0
