Date,Adj Close,Close,High,Low,Open,Volume,VIX,puntaje_sent_fin_pos,puntaje_sent_fin_neu,puntaje_sent_fin_neg,recom_inv_llm,rows_per_day,has_news,Sentiment_gpt,Scaled_sentiment,News_flag
2023-08-01,131.69000244140625,131.69000244140625,133.69000244140625,131.6199951171875,133.5500030517578,42098500,13.930000305175781,0.0805121678858995,0.902894526720047,0.01659335475414985,1.5,2.0,1,3.3333333333333335,0.5833583333333334,1.0
2023-08-02,128.2100067138672,128.2100067138672,130.22999572753906,126.81999969482422,130.14999389648438,51027600,16.09000015258789,0.13582237716764206,0.7085129767656326,0.15566464839503166,3.25,4.0,1,3.25,0.5625249999999999,1.0
2023-08-03,128.91000366210938,128.91000366210938,129.83999633789062,126.41000366210938,127.4800033569336,88585200,15.920000076293945,0.041930828864375734,0.8688494165738424,0.08921974028150233,4.333333333333333,3.0,1,3.4878048780487805,0.6219762195121952,1.0
2023-08-04,139.57000732421875,139.57000732421875,143.6300048828125,139.32000732421875,141.05999755859375,153128500,17.100000381469727,0.03377946414053434,0.09000568538904188,0.8762148639559746,3.6,25.0,1,4.3076923076923075,0.8269480769230768,1.0
2023-08-07,142.22000122070312,142.22000122070312,142.5399932861328,138.9499969482422,140.99000549316406,71213100,15.770000457763672,0.02323371019553052,0.2764749256047336,0.7002913755449381,3.272727272727273,11.0,1,3.4347826086956523,0.608720652173913,1.0
2023-08-08,139.94000244140625,139.94000244140625,140.83999633789062,138.4199981689453,140.6199951171875,51710500,15.989999771118164,0.15292880558766994,0.7664042052884514,0.08066703343334101,3.1923076923076925,26.0,1,3.88,0.7200249999999999,1.0
2023-08-09,137.85000610351562,137.85000610351562,140.32000732421875,137.10000610351562,139.97000122070312,50017300,15.960000038146973,0.03414724580943583,0.2880158807550157,0.6778368399079356,3.142857142857143,14.0,1,3.8260869565217392,0.7065467391304348,1.0
2023-08-10,138.55999755859375,138.55999755859375,140.41000366210938,137.49000549316406,139.07000732421875,58928400,15.850000381469727,0.09751932159066197,0.23731345236301418,0.6651671843230724,3.44,25.0,1,3.8,0.7000249999999999,1.0
2023-08-11,138.41000366210938,138.41000366210938,139.3300018310547,137.0,137.39999389648438,42905800,14.84000015258789,0.0,0.0,0.0,0.0,0.0,0,3.7857142857142856,0.6964535714285713,1.0
2023-08-14,140.57000732421875,140.57000732421875,140.58999633789062,137.75,138.3000030517578,47148700,14.819999694824219,0.017736753448843876,0.06713263178244226,0.9151306971907616,3.375,8.0,1,3.8333333333333335,0.7083583333333334,1.0
