Date,Adj Close,Close,High,Low,Open,Volume,VIX,puntaje_sent_fin_pos,puntaje_sent_fin_neu,puntaje_sent_fin_neg,recom_inv_llm,rows_per_day,has_news,Sentiment_gpt,Scaled_sentiment,News_flag
2023-08-01,117.5999984741211,117.5999984741211,118.19000244140625,113.16000366210938,114.26000213623047,95279300,13.930000305175781,0.20598168644521914,0.5005537103861569,0.2934645973145962,3.142857142857143,7.0,1,3.55,0.6375249999999999,1.0
2023-08-02,109.3499984741211,109.3499984741211,119.5,107.37999725341797,119.48999786376953,173372000,16.09000015258789,0.025470031691448958,0.3736309802957943,0.6008989326655865,3.142857142857143,14.0,1,3.324324324324324,0.5811060810810811,1.0
2023-08-03,113.1500015258789,113.1500015258789,114.95999908447266,108.94999694824219,108.94999694824219,90605400,15.920000076293945,0.0462892390787601,0.929228127002716,0.0244826097041368,4.5,2.0,1,3.090909090909091,0.5227522727272726,1.0
2023-08-04,115.81999969482422,115.81999969482422,118.8499984741211,113.95999908447266,114.4800033569336,83169700,17.100000381469727,0.0424764305353164,0.9359840154647828,0.0215395614504814,4.0,1.0,1,4.0,0.7500249999999999,1.0
2023-08-07,116.80999755859375,116.80999755859375,119.08000183105469,115.48999786376953,116.36000061035156,65854800,15.770000457763672,0.06175825993220007,0.9176297585169474,0.020611939951777434,3.6666666666666665,3.0,1,4.4,0.850025,1.0
2023-08-08,113.2300033569336,113.2300033569336,115.45999908447266,111.41000366210938,114.94000244140625,54141800,15.989999771118164,0.0507999844849109,0.8489987850189209,0.1002011969685554,3.2222222222222223,9.0,1,3.7142857142857144,0.6785964285714285,1.0
2023-08-09,110.47000122070312,110.47000122070312,113.1500015258789,108.77999877929688,112.88999938964844,56257100,15.960000038146973,0.0,0.0,0.0,0.0,0.0,0,3.4,0.600025,1.0
2023-08-10,110.2300033569336,110.2300033569336,113.88999938964844,109.47000122070312,111.30000305175781,57297800,15.850000381469727,0.0,0.0,0.0,0.0,0.0,0,3.0,0.5000249999999999,1.0
2023-08-11,107.56999969482422,107.56999969482422,109.06999969482422,106.4800033569336,108.8499984741211,55667700,14.84000015258789,0.0,0.0,0.0,0.0,0.0,0,3.1666666666666665,0.5416916666666667,1.0
2023-08-14,111.9800033569336,111.9800033569336,111.98999786376953,105.41999816894531,106.75,57421800,14.819999694824219,0.0,0.0,0.0,0.0,0.0,0,3.0,0.5000249999999999,1.0
2023-08-15,111.3499984741211,111.3499984741211,113.18000030517578,110.16999816894531,111.98999786376953,53816600,16.459999084472656,0.0377253256738185,0.9274892807006836,0.0347854606807231,4.0,1.0,1,3.4285714285714284,0.6071678571428571,1.0
2023-08-16,107.19000244140625,107.19000244140625,110.44000244140625,106.9800033569336,110.08999633789062,54327300,16.780000686645508,0.06867666852970909,0.794612467288971,0.13671085735162095,3.8333333333333335,6.0,1,3.5555555555555554,0.6389138888888888,1.0
2023-08-17,104.44000244140625,104.44000244140625,107.8499984741211,104.0999984741211,107.62000274658203,59064300,17.889999389648438,0.0391715317964553,0.9356848001480104,0.0251436941325664,5.0,1.0,1,3.0,0.5000249999999999,1.0
2023-08-18,105.44999694824219,105.44999694824219,106.06999969482422,101.68000030517578,102.4000015258789,59916700,17.299999237060547,0.0,0.0,0.0,0.0,0.0,0,3.3333333333333335,0.5833583333333334,1.0
2023-08-21,108.22000122070312,108.22000122070312,108.54000091552734,105.66999816894531,106.19999694824219,49319200,17.1299991607666,0.0497416667640209,0.9303656816482544,0.0198926534503698,2.5,2.0,1,3.7142857142857144,0.6785964285714285,1.0
2023-08-22,105.66000366210938,105.66000366210938,109.72000122070312,104.8499984741211,109.4000015258789,47295200,16.969999313354492,0.0,0.0,0.0,0.0,0.0,0,3.9375,0.7343999999999999,1.0
2023-08-23,109.43000030517578,109.43000030517578,110.08000183105469,105.0,105.6500015258789,54656300,15.979999542236328,0.0,0.0,0.0,0.0,0.0,0,4.454545454545454,0.8636613636363635,1.0
