features,MSE_mean,MSE_std,WMAPE_mean,WMAPE_std,Mejora MSE respecto a baseline (%)
"Sentiment_gpt, News_flag, Adj Close, High, Low, Volume, VIX",0.6497929436819894,0.03525091557274788,0.009198368155353173,0.00020936081068311695,52.27
"puntaje_sent_fin_pos, puntaje_sent_fin_neg, Adj Close, High, Low, Volume, VIX, has_news",0.6619536280632019,0.03731764699255384,0.00928893507087955,0.0003855540930507798,51.38
"recom_inv_llm, Adj Close, High, Low, Volume, VIX, has_news",0.6706005590302604,0.03731618718857967,0.009778737679957492,0.0004814843625032256,50.74
"puntaje_sent_fin_pos, puntaje_sent_fin_neu, puntaje_sent_fin_neg, Adj Close, High, Low, Volume, VIX, has_news",1.3046998041016715,0.042915355241429205,0.011553496017639126,0.0006737088377334124,4.17
"Adj Close, High, Low, Volume, VIX",1.3614855749266488,0.10361781869762367,0.015761338354331553,0.0013785419614095774,0.0
"recom_inv_llm, puntaje_sent_fin_pos, puntaje_sent_fin_neu, puntaje_sent_fin_neg, Adj Close, High, Low, Volume, VIX, has_news",32.03002330235073,0.8425979781679557,0.0836490014553226,0.0011630500010871615,-2252.58
